CRATER_ID,LATITUDE_CIRCLE_IMAGE,LONGITUDE_CIRCLE_IMAGE,DIAM_CIRCLE_IMAGE,DEPTH_RIM_TOPOG,DEPTH_FLOOR_TOPOG,DEPTH_RIMFLOOR_TOPOG,CRATER_NAME,FAN_LATITUDE,FAN_LONGITUDE ,FAN_CLASS,FAN_AZIMUTH_BEARING,TANAKA_UNIT,TANAKA_UNIT_DESCRIPTION,REFERENCE
22-000026,-19.52,123.33,72.41,2.86,0.59,2.27,,-20.02,123.16,alluvial fan,180,AHi,Amazonian and Hesperian impact unit,Kraal et al. (2008)
22-000043,-16.37,128.39,63.28,2.39,0.22,2.17,,-15.93,128.39,alluvial fan,0,AHi,Amazonian and Hesperian impact unit,this paper 
22-000043,-16.37,128.39,63.28,2.39,0.22,2.17,,-15.91,128.44,alluvial fan,0,AHi,Amazonian and Hesperian impact unit,this paper 
22-000043,-16.37,128.39,63.28,2.39,0.22,2.17,,-16.03,128.7,alluvial fan,22.5,AHi,Amazonian and Hesperian impact unit,this paper 
22-000097,-27.36,94.82,47.66,-0.52,-0.87,0.35,,-27.04,94.78,alluvial fan,337.5,AHi,Amazonian and Hesperian impact unit,this paper 
22-000142,-26.66,94.72,39.5,0.89,-0.76,1.65,,-26.71,94.47,alluvial fan,247.5,AHi,Amazonian and Hesperian impact unit,this paper 
22-000142,-26.66,94.72,39.5,0.89,-0.76,1.65,,-26.82,94.97,alluvial fan,112.5,AHi,Amazonian and Hesperian impact unit,this paper 
22-000142,-26.66,94.72,39.5,0.89,-0.76,1.65,,-26.81,94.49,alluvial fan,225,AHi,Amazonian and Hesperian impact unit,this paper 
22-000142,-26.66,94.72,39.5,0.89,-0.76,1.65,,-26.87,94.89,alluvial fan,135,AHi,Amazonian and Hesperian impact unit,this paper 
22-000142,-26.66,94.72,39.5,0.89,-0.76,1.65,,-26.93,94.78,alluvial fan,157.5,AHi,Amazonian and Hesperian impact unit,this paper 
22-000142,-26.66,94.72,39.5,0.89,-0.76,1.65,,-26.94,94.71,alluvial fan,180,AHi,Amazonian and Hesperian impact unit,this paper 
22-000142,-26.66,94.72,39.5,0.89,-0.76,1.65,,-26.89,94.61,alluvial fan,180,AHi,Amazonian and Hesperian impact unit,this paper 
22-000146,-19.1,120.95,39.13,2.16,1.05,1.11,,-19.32,121.04,alluvial fan,157.5,mNh,Middle Noachian highland unit,this paper 
22-000146,-19.1,120.95,39.13,2.16,1.05,1.11,,-18.96,121.19,alluvial fan,45,mNh,Middle Noachian highland unit,this paper 
22-000203,-18.87,120.62,33.78,2.08,0.04,2.04,,-19.02,120.81,alluvial fan,112.5,mNh,Middle Noachian highland unit,this paper 
22-000203,-18.87,120.62,33.78,2.08,0.04,2.04,,-18.97,120.83,alluvial fan,112.5,mNh,Middle Noachian highland unit,this paper 
22-000217,-24.7,94.5,32.46,0.94,-0.7,1.64,,-24.6,94.56,alluvial fan,22.5,mNh,Middle Noachian highland unit,Wilson et al. (2013)/ this paper
